✅,№,Раздел,Задача,Агент,Приоритет,Срок,Статус,Ссылки / Заметки
FALSE,—,—,—— РАЗДЕЛ 6: TIKTOK ——,—,—,—,—,—
FALSE,57,TikTok,Создать / оформить аккаунт,Антон,P0,Неделя 1,Не начато,
FALSE,58,TikTok,Загрузить фото профиля (единый аватар),Антон,P0,Неделя 1,Не начато,
FALSE,59,TikTok,"Написать bio (≤80 символов: тема + CTA → TG)",tiktok-agent,P0,Неделя 1,Не начато,"Пример: «Владелец доставки 13 лет. Цифры и кейсы. Канал👇»"
FALSE,60,TikTok,Добавить ссылку на TG-канал в профиль,Антон,P0,Неделя 1,Не начато,Нужен Business-аккаунт для ссылки
FALSE,61,TikTok,Переключить на Business-аккаунт (для аналитики и ссылки),Антон,P0,Неделя 1,Не начато,
FALSE,—,—,—— РАЗДЕЛ 7: INSTAGRAM ——,—,—,—,—,—
FALSE,62,Instagram,Создать / оформить аккаунт,Антон,P0,Неделя 1,Не начато,
FALSE,63,Instagram,Перевести в Professional (Creator Account),Антон,P0,Неделя 1,Не начато,
FALSE,64,Instagram,Загрузить фото профиля (единый аватар),Антон,P0,Неделя 1,Не начато,
FALSE,65,Instagram,"Написать bio (≤150 символов: кто + для кого + CTA → TG)",instagram-agent,P0,Неделя 1,Не начато,
FALSE,66,Instagram,Добавить ссылку на TG-канал (или Taplink со всеми ссылками),Антон,P0,Неделя 1,Не начато,
FALSE,67,Instagram,"Создать заглушки Highlights (5 тем: О себе / Кейсы / Деньги / Инструменты / Чек-лист)",designer,P1,Неделя 2,Не начато,Обложки в едином стиле
FALSE,68,Instagram,Опубликовать 3 первых поста (контент-буфер для «непустого» профиля),instagram-agent,P1,Неделя 2,Не начато,Адаптация из content-bank/
FALSE,—,—,—— РАЗДЕЛ 8: ВКОНТАКТЕ ——,—,—,—,—,—
FALSE,69,ВКонтакте,Создать публичную страницу (не группу),Антон,P1,Неделя 2,Не начато,
FALSE,70,ВКонтакте,Написать описание страницы + указать ссылку на TG,vk-agent,P1,Неделя 2,Не начато,
FALSE,71,ВКонтакте,Загрузить аватар и обложку (1590×400),Антон,P1,Неделя 2,Не начато,
FALSE,72,ВКонтакте,"Настроить меню-кнопки: TG-канал / Чек-лист / YouTube",Антон,P1,Неделя 2,Не начато,
FALSE,73,ВКонтакте,Опубликовать первый пост (адаптация знакомства из TG),vk-agent,P1,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 9: ДЗЕН ——,—,—,—,—,—
FALSE,74,Дзен,Создать канал на Дзен,Антон,P1,Неделя 2,Не начато,
FALSE,75,Дзен,Написать описание канала (SEO: ключевые слова — доставка / ресторан / общепит),dzen-agent,P1,Неделя 2,Не начато,
FALSE,76,Дзен,Загрузить аватар и обложку,Антон,P1,Неделя 2,Не начато,
FALSE,77,Дзен,Опубликовать первую статью (адаптация поста TG в лонгрид 1500–3000 зн.),dzen-agent,P1,Неделя 3,Не начато,CTA в конце → TG-канал
FALSE,—,—,—— РАЗДЕЛ 10: MAX ——,—,—,—,—,—
FALSE,78,MAX,Создать канал в MAX (ВКонтакте Мессенджер),Антон,P2,Неделя 3,Не начато,
FALSE,79,MAX,Написать описание канала,max-agent,P2,Неделя 3,Не начато,
FALSE,80,MAX,Настроить синхронизацию / репост с TG-канала,Антон,P2,Неделя 3,Не начато,
FALSE,—,—,—— РАЗДЕЛ 11: THREADS ——,—,—,—,—,—
FALSE,81,Threads,Создать аккаунт (через Instagram),Антон,P2,Неделя 3,Не начато,
FALSE,82,Threads,Написать bio (CTA → TG),threads-agent,P2,Неделя 3,Не начато,
FALSE,83,Threads,Опубликовать первый пост (знакомство),threads-agent,P2,Неделя 3,Не начато,
FALSE,—,—,—— РАЗДЕЛ 12: КОНТЕНТ-БУФЕР ——,—,—,—,—,—
FALSE,84,Контент,Написать 5 постов TG в очередь (контент-буфер на 2 недели),telegram-agent,P0,Неделя 1,Не начато,Из content/ideas/ — 5 идей уже готовы
FALSE,85,Контент,Создать визуалы (обложки) для 5 постов TG,designer,P0,Неделя 1,Не начато,
FALSE,86,Контент,Написать сценарий первого YouTube-видео (представление Антона),youtube-agent,P0,Неделя 2,Не начато,Шаблон из _templates/script.md
FALSE,87,Контент,Написать 2 сценария шортсов (TikTok / Reels / YouTube Shorts),script-writer,P0,Неделя 2,Не начато,Из content/ideas/ — есть 9 идей
FALSE,88,Контент,Снять первые 2 шортса + первое YouTube-видео,Антон,P0,Неделя 2,Не начато,
FALSE,89,Контент,Подготовить описания и хэштеги для каждого видео,youtube-agent + tiktok-agent,P0,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 13: АНАЛИТИКА И МЕТРИКИ ——,—,—,—,—,—
FALSE,90,Аналитика,Зарегистрироваться на tgstat.ru (мониторинг TG-канала),Антон,P0,Неделя 1,Не начато,
FALSE,91,Аналитика,Зарегистрироваться на socialblade.com (YouTube-аналитика),Антон,P1,Неделя 1,Не начато,
FALSE,92,Аналитика,Создать Google Sheets таблицу еженедельных метрик,analytics,P0,Неделя 1,Не начато,"Подписчики / Охват / ER / Конверсия бота / Просмотры видео"
FALSE,93,Аналитика,Настроить UTM-метки для ссылок на TG из других платформ,analytics,P1,Неделя 2,Не начато,
FALSE,94,Аналитика,Определить KPI для первых 30 дней (целевые числа),analytics + Антон,P0,Неделя 1,Не начато,"Пример: 200 подписчиков TG / 50 выдач PDF / 500 просмотров видео"
FALSE,95,Аналитика,Настроить еженедельную сводку метрик (каждый ПН 09:00),analytics,P1,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 14: ПЕРЕД ПЕРВОЙ ПУБЛИКАЦИЕЙ ——,—,—,—,—,—
FALSE,96,Запуск,Финальная проверка всех описаний (единый тон / без ошибок / CTA везде),editor,P0,Неделя 2,Не начато,
FALSE,97,Запуск,Протестировать весь путь: шортс в TikTok → CTA → TG → бот → PDF,Антон,P0,Неделя 2,Не начато,Пройти как новый подписчик
FALSE,98,Запуск,Анонс запуска в личном TG (друзьям / знакомым / коллегам),Антон,P0,Неделя 2,Не начато,Первые 50 подписчиков — из окружения
FALSE,99,Запуск,Опубликовать первый пост в TG-канале,Антон,P0,Неделя 2,Не начато,
FALSE,100,Запуск,Запустить шортс на TikTok / Reels / YouTube Shorts,Антон,P0,Неделя 2,Не начато,
